buildingID;x;y;totalArea;floors
26631;1070618;755070;428;1
51225;1056269;897977;1888;1
34845;417270;451262;914;1
43044;1782074;542803;1298;1
51253;780831;1353922;666;1
43067;1841699;173613;212;1
34876;1077706;478370;3134;1
26688;1725526;247227;770;1
51276;1098122;164493;1120;1
34899;236521;1457161;824;1
43102;674834;1564620;1668;1
26719;946819;204744;670;1
34926;1760167;304765;4081;1
43127;1932666;60053;701;1
34955;1008513;845316;974;1
51344;747725;1186898;718;1
43160;303849;1226468;336;1
34980;190810;775729;391;1
43183;1850303;183495;205;1
43208;2039005;621330;749;1
51428;608628;766634;1382;1
35050;199506;753098;289;1
26864;925862;252596;1159;1
43264;1261494;1055518;942;1
43289;1697090;228045;1698;3
51498;1631945;1343107;9806;1
43312;914733;682434;1165;1
35123;1022190;742878;488;1
26932;610283;1305083;310;1
35146;2113076;138824;575;1
43343;836296;84899;663;1
26986;1737434;95795;319;1
51583;1080058;1259725;898;1
27009;2022403;508850;637;1
43403;1671619;53900;865;1
27032;1939635;648674;819;1
51608;1847752;723140;571;1
35230;212656;1458347;405;1
51631;1993626;496765;732;1
27059;1229095;494503;402;1
35261;502027;603172;477;1
51654;823216;741656;692;1
27082;274886;1051434;1080;1
43488;1923715;344392;78;1
35323;1623399;258608;527;1
27175;530058;736337;8109;1
35389;2086191;1455825;254;1
27202;442372;598224;351;1
43613;1154146;914886;782;1
51857;717044;751541;5408;1
35486;1430436;403613;1036;1
27319;1087918;1319973;977;1
35513;455261;1181890;1811;1
43712;579537;173291;1450;2
35541;273947;1429903;663;1
43741;56509;748205;1599;1
43773;1509739;318744;936;1
27395;1643058;846391;659;1
43831;1658767;892676;653;1
35640;1906409;364959;460;1
43854;1555481;945249;3033;3
27481;1913354;999661;1992;1
27502;2088893;1377391;161;1
27525;1726736;204586;1716;1
43922;1673153;124252;411;1
27548;891572;680961;792;1
43986;666663;1198860;2184;1
35811;2093018;164097;1107;1
44009;1496361;919453;1088;2
44034;1826822;687418;1071;1
35851;572459;1188507;4312;1
27661;1695169;37879;1208;1
44069;1152146;1009919;1468;1
27688;1073544;1378872;834;1
44092;2086220;49507;938;1
35921;1002461;1390452;1113;1
44115;840160;639304;1095;1
35946;725481;1406295;261;1
44169;790387;229713;376;1
27791;1358727;1299932;964;1
44196;513981;511363;3150;3
36007;1972974;621068;1243;1
27822;1169311;593251;1244;1
44217;1996811;1411827;264;1
36032;233871;1408457;584;1
27851;1511969;453658;1424;1
52432;2070606;1538213;739;1
44250;680882;154423;3006;1
36063;2001897;1448991;2003;1
27878;1002935;1328623;828;1
44285;766994;433108;1471;1
52482;1626729;372198;1726;1
27909;2052032;1381755;1925;1
52496;1511155;282188;169;1
52497;1519159;259696;444;1
27934;2146761;562217;1338;1
52521;134267;677011;742;1
52522;167125;650077;859;1
52525;184489;529645;633;1
52526;131350;521356;2241;3
36158;511810;110257;1095;1
36181;797172;1540528;1120;1
27992;725491;1304007;1375;1
52568;122230;449377;927;1
52569;168213;485474;869;1
52570;221245;467542;789;1
52581;77932;472610;1339;1
52582;58901;521709;536;1
44426;610213;1258691;445;1
52620;275171;556044;886;1
52621;236962;612754;1535;1
52623;290805;701979;647;1
52630;395623;744082;565;1
36253;626126;1094732;719;1
52638;445616;694805;462;1
44449;589801;573238;775;1
52645;567903;619779;2092;1
52651;527796;627319;413;1
52665;632769;675688;833;1
52666;661975;647127;652;1
52667;637320;612630;1039;1
52672;232961;967945;719;1
52674;351584;978360;1682;1
52675;285510;913514;1087;1
52676;347840;886064;2310;1
36309;468660;1302310;701;1
52693;171195;892711;2614;1
52696;142205;936705;667;1
52697;232820;876109;1077;1
52720;371788;1122233;1078;1
52721;418721;1094303;1266;1
52722;376460;1060356;1359;1
52723;328926;1086898;1329;1
52729;374895;631784;2643;3
44538;1046787;753156;410;1
52738;386472;512108;383;1
36369;1970814;652181;420;1
52755;531091;342551;1244;1
52756;542039;372103;659;1
52765;568843;365262;708;1
52766;591652;375573;1554;3
52767;598544;357448;266;1
52768;586323;341878;514;1
44599;1299284;1459977;2738;1
36411;1973902;872212;1722;1
52814;805694;345302;1565;1
52821;632360;341920;302;1
28249;644425;774358;489;1
52825;770781;258500;546;1
52826;749510;226563;998;1
28272;1225600;687398;3120;3
52866;1312075;322695;108;1
52867;1331050;324921;118;1
52875;1259676;405760;3466;1
44684;1782368;609840;5914;1
52876;1380477;423582;925;1
52877;1408797;446868;724;1
36499;204688;1044583;969;1
28313;971133;573383;3264;3
52895;1354338;488179;1106;1
52896;1394017;457529;72;1
36522;523253;571061;376;2
52911;1525379;531703;522;1
52912;1459673;555230;2211;1
28337;1009709;875894;962;1
52913;1466157;598635;1568;1
52914;1492527;613483;481;1
52923;1409968;613786;1135;1
52924;1361028;634863;1726;1
36553;1344046;1324811;1004;1
28362;1012250;252865;918;1
52940;1328755;708192;4893;3
52941;1375389;719429;3999;3
52942;1377868;751718;1841;1
52943;1421986;732114;669;1
52949;1014403;670088;469;1
44761;705602;1304695;843;1
28385;1973098;189409;895;1
28408;552995;1252445;609;1
44792;1562752;477391;529;1
53005;376726;538453;127;1
53006;391172;536319;105;1
53007;387364;548711;76;1
53008;649346;545889;364;1
28435;1794089;1519742;1234;1
53027;288079;1316308;655;1
53028;274825;1296901;228;1
53029;318434;1308518;488;1
28460;1913127;126936;742;1
36654;1947280;90894;1875;1
44860;901062;979680;209;1
44895;330329;1282867;722;1
36712;1987403;426078;504;1
28524;1885874;227802;966;1
36749;1624043;108254;6422;1
53143;98095;898669;79;1
44961;298523;1279558;1026;1
36772;850193;585759;1383;1
53159;62027;843967;659;1
53161;84613;888307;552;1
53162;74270;922280;660;1
53172;44238;946059;933;1
53173;69138;958454;835;1
53174;96698;951924;806;1
45027;1373619;813615;2244;1
53234;1855635;947169;744;1
53235;1817348;940726;908;1
53236;1839276;895330;622;1
53237;1886692;883699;820;1
53238;1870299;915372;178;1
53239;1849653;913158;590;1
45054;1225782;582446;561;1
53257;1808642;970194;487;1
53258;1815337;1001943;856;1
36875;2114129;1455106;262;1
28690;1648727;586157;1834;1
36898;285920;618994;925;1
53283;231091;365529;1121;1
53284;211931;349459;395;1
53285;260420;339576;1090;2
53288;388475;1533057;325;1
53291;397758;1504473;381;1
53292;378112;1510257;187;1
53303;344533;1589912;274;1
53309;180733;1514454;1971;3
53310;146005;1501254;897;1
36927;402616;1239134;786;1
28742;1923843;373017;434;1
53319;123761;1464130;553;1
53320;143950;1484615;222;1
36950;1697453;168634;1742;1
45142;1253685;596317;406;1
53334;102965;1498240;1005;3
53336;73415;1492563;396;1
53337;87136;1504818;128;1
53347;102066;1475558;266;1
53349;79689;1455857;899;1
53350;105703;1443985;1380;3
53356;402094;1307180;1021;1
45165;1167207;309882;1878;1
53357;364814;1325152;230;1
53363;217116;1259638;588;1
53364;240903;1299321;689;1
53371;186431;1245665;1581;1
53377;109903;1212534;786;1
53378;149954;1221938;1494;1
45188;254995;689956;179;1
53380;132967;1180818;1634;2
53381;104470;1149431;808;1
53391;214248;1137398;646;1
53393;175734;1132376;722;1
53394;196842;1120739;210;1
53396;132716;1097353;195;1
53397;154585;1062789;1931;1
53399;112726;1052331;685;1
53400;131194;1038310;311;1
45211;1447439;897082;1525;1
37020;1121141;912216;796;1
28831;898890;261679;707;1
53423;580707;806670;759;1
53425;640667;867887;510;1
53426;628764;825485;2485;1
45236;1882956;103385;670;1
53429;581949;821892;206;1
53444;568333;851265;1922;1
53446;604052;858174;1281;1
45259;1531775;1527775;302;1
37081;1608916;889877;803;1
28891;1865839;643355;707;1
53472;404990;656163;1038;3
53473;435915;660138;765;1
53474;424110;643192;398;1
53475;419002;630591;282;1
53476;415093;608382;561;1
53477;446994;642449;138;1
53478;444866;632492;240;2
53479;463338;659369;254;1
53480;460925;642497;182;1
